,Nombre,Apellido Paterno,Apellido Materno,fecha,producto,P1,P2,P3,P4,P5
79,Jade,Terrazas,Palomo,2020-03-16,Producto X,4,5,5,3,4
80,Cintia,Lopes,De almeida,2020-03-14,Producto X,4,5,4,5,4
81,Alexia,Avilés,Segovia,2020-01-03,Producto X,4,-1,4,4,5
82,Abraham,Agrada,Benavides,2020-01-19,Producto X,5,5,5,4,-1
83,Ceferino,Sáenz,Grijalva,2020-01-22,Producto X,5,5,3,5,5
84,Neptuno,Gonzales,Mena,2020-04-01,Producto X,5,4,4,5,5
85,Neptuno,Adame,Guillen,2020-02-05,Producto Y,2,3,4,4,5
86,Eliseo,Vargas,Costa,2020-03-19,Producto X,5,5,4,-1,4
87,Dafne,Tejeda,Castañeda,2020-01-23,Producto X,5,4,5,4,2
88,Elvira,Domingues,Armenta,2020-02-29,Producto Y,3,3,4,5,4
89,Jesús,Zamora,Valdez,2020-01-15,Producto X,3,4,4,5,4
90,Caridad,Mayorga,Vaca,2020-02-14,Producto X,3,5,4,4,5
91,Flora,Fino,Nevárez,2020-02-26,Producto X,5,5,5,5,5
92,Felipa,Macías,Nieves,2020-01-16,Producto Y,4,2,3,5,5
93,Celestino,Trujillo,Zavala,2020-04-04,Producto X,5,-1,5,5,5
94,Cristal,Rosario,Báez,2020-04-10,Producto X,4,3,5,4,5
95,Diógenes,Colunga,Medrano,2020-03-18,Producto X,5,4,4,4,5
96,Jesús,Mourao,Sotelo,2020-04-01,Producto X,4,4,4,3,4
97,Bartolomé,Guardado,Coelho,2020-03-06,Producto X,3,5,-1,3,4
98,Angela,Barraza,Ontiveros,2020-03-21,Producto X,5,-1,5,-1,5
99,Cleopatra,Sauceda,Briones,2020-02-18,Producto X,4,4,4,5,5
100,Zacarí­as,Valdivia,Sisneros,2020-02-20,Producto X,5,5,4,-1,4
101,Esperanza,Verdugo,Reyna,2020-03-29,Producto X,4,4,5,5,3
102,Victor,Alcabes,Villarreal,2020-01-12,Producto X,4,3,5,4,5
103,Isabel,Veiga,Velásquez,2020-03-02,Producto X,5,5,4,5,5
104,Fortunato,Contreras,Alemán,2020-01-17,Producto Y,-1,3,3,3,5
105,Bella,Agrada,Gracia,2020-01-03,Producto Y,4,3,2,2,5
106,Graciana,Vieira,Nores,2020-03-17,Producto X,5,5,4,5,5
107,Sierra,Otero,Villareal,2020-01-28,Producto Y,4,4,3,4,3
108,Virginia,Tello,Ribeiro,2020-03-18,Producto X,5,5,5,4,5
109,Bartolomé,Benavides,Angobaldo,2020-03-01,Producto X,5,5,4,5,5
110,Alana,Portugal,Roque,2020-02-25,Producto X,5,5,5,4,4
111,Yesenia,De sousa,Leyva,2020-01-19,Producto X,5,5,5,4,5
112,Venus,Almeida,Griego,2020-03-05,Producto X,4,4,5,5,5
113,Fátima,Barela,Lebrón,2020-01-25,Producto X,5,4,4,5,5
114,Jaime,Rosado,Carrion,2020-01-13,Producto X,5,4,4,4,5
115,Amanda,Amador,Seijas,2020-01-14,Producto X,5,5,5,5,5
116,Dino,Dasilva,Arias,2020-03-31,Producto X,5,5,5,4,4
117,Fe,Cervántez,Souza,2020-02-04,Producto X,4,4,4,5,4
118,Eduarda,Chapa,Delagarza,2020-01-19,Producto Y,4,4,2,2,4
119,Pablo,Zúñiga,Varela,2020-02-04,Producto X,5,5,4,5,4
120,Jimena,Padrón,Salazar,2020-01-28,Producto Y,4,5,3,1,2
121,Eduardo,Figueroa,Menchaca,2020-01-19,Producto X,5,5,-1,5,4
122,Yara,Delafuente,Aguirre,2020-03-08,Producto X,5,2,5,5,5
123,Raquel,Álvarez,Villarreal,2020-02-05,Producto X,3,5,5,5,4
124,Dino,Dueñas,Garrido,2020-02-01,Producto X,5,-1,3,-1,5
125,Dino,Tejada,Ornelas,2020-01-04,Producto X,5,4,5,5,5
126,Dana,Porras,Balderas,2020-04-05,Producto X,4,5,5,5,5
127,Noemí,Fonseca,Sosa,2020-02-05,Producto Y,4,4,-1,4,3
128,Celestino,Almonte,Miranda,2020-01-23,Producto X,5,5,4,5,5
129,Felix,Ramos,Pereira,2020-01-24,Producto Y,5,4,-1,4,4
130,Moisés,Padua,De almeida,2020-01-16,Producto X,5,5,4,4,4
131,Sócrates,Montes,Cruz,2020-03-19,Producto X,5,4,4,3,3
132,Miriam,Tejeda,Arguello,2020-02-17,Producto X,5,4,5,5,5
133,Nuria,Guerra,Estévez,2020-02-21,Producto X,4,4,4,5,4
134,Rosa,Rodríquez,Da cruz,2020-02-03,Producto X,5,5,4,5,4
135,Alejandra,Espinoza,Ortega,2020-01-25,Producto X,-1,5,4,5,4
136,Flora,Cervántez,Agosto,2020-02-26,Producto X,-1,5,5,5,5
137,Marcia,Armijo,Anaya,2020-02-14,Producto Y,4,5,1,-1,2
138,Rigoberto,Alemán,Junior,2020-02-09,Producto X,4,5,5,5,5
139,Flora,Samaniego,Domínquez,2020-03-28,Producto X,4,5,4,5,4
140,Cintia,Coronado,Tórrez,2020-02-09,Producto Y,4,-1,4,3,4
141,Marta,Nieves,Ceballos,2020-03-12,Producto X,5,5,5,4,4
142,Set,Do carmo,Irizarry,2020-04-02,Producto X,3,4,-1,4,5
143,Aarón,Barboza,Munguía,2020-01-13,Producto X,4,-1,5,4,5
144,Esteban,Domínguez,Soria,2020-01-23,Producto Y,3,-1,1,2,4
145,Felipa,Soares,Sena,2020-04-01,Producto X,4,4,5,4,4
146,Mariana,Calvillo,Prado,2020-02-17,Producto Y,4,4,3,1,3
147,Javier,Dacunha,Ornelas,2020-04-08,Producto X,5,5,5,5,4
148,Maricela,Goncalves,Tello,2020-04-01,Producto X,-1,5,4,5,5
149,Marcos,Bernal,Roldán,2020-02-28,Producto X,4,5,5,5,5
150,Rosa,Coimbra,Montañez,2020-02-08,Producto X,5,5,5,5,4
151,Maya,Rentería,Reséndez,2020-02-14,Producto X,3,-1,3,5,5
152,Ana,Farías,Adame,2020-01-30,Producto Y,4,4,3,4,3
153,Mónica,Mercado,Osores,2020-01-08,Producto X,5,5,-1,5,4
154,Déborah,Posada,Sousa,2020-01-02,Producto X,4,5,3,4,5
155,Sol,Corrales,Mejía,2020-02-05,Producto X,5,5,-1,5,3
156,Aarón,Gutiérrez,Quezada,2020-01-08,Producto Y,4,2,3,4,4
157,Fidel,Pajares,Ruiz,2020-02-21,Producto Y,5,5,3,-1,4
158,Amadeo,Ribeiro,Vaca,2020-01-14,Producto X,5,4,4,4,5
159,Alejandro,Chichón,Rangel,2020-03-09,Producto X,-1,4,5,5,5
160,Maya,Seijas,Ruiz,2020-03-09,Producto X,4,5,5,3,-1
161,Tiara,De sousa,Quiroz,2020-01-14,Producto X,-1,5,4,4,3
162,David,Montaño,Paredes,2020-02-02,Producto Y,3,3,-1,3,5
163,Lola,Navarrete,Delgado,2020-01-05,Producto X,5,5,3,4,3
164,Abra,Melgar,Loya,2020-04-01,Producto X,5,4,4,5,5
165,Florencia,Batista,Venegas,2020-01-22,Producto X,5,4,5,4,5
166,Dino,Estévez,Carbajal,2020-01-17,Producto X,4,5,5,3,4
167,Alejandrina,Torres,Sandoval,2020-02-06,Producto Y,3,3,3,5,3
168,Victoria,Laboy,Sierra,2020-01-27,Producto X,5,5,3,5,4
169,Ava,Martínez,Alves,2020-01-12,Producto X,5,4,4,4,4
170,Amanda,Madrigal,Carbajal,2020-01-09,Producto Y,-1,-1,4,2,2
171,Desirée,Pedraza,Arellano,2020-03-27,Producto X,-1,4,-1,4,4
172,Jesús,Abeyta,de León,2020-01-01,Producto X,5,-1,5,-1,5
173,Clorinda,Correa,Portuguez,2020-01-15,Producto X,3,5,5,4,4
174,Aarón,Tamayo,Dávila,2020-01-07,Producto X,5,2,5,5,5
175,Alexia,Álvarez,Anguiano,2020-02-27,Producto X,3,4,4,5,4
176,Mercedes,Cazares,Griego,2020-01-21,Producto Y,4,3,5,3,2
177,Oscar,Venegas,Antunes,2020-01-17,Producto X,5,4,4,-1,2
178,Rosana,Branco,Tafoya,2020-01-03,Producto X,3,-1,4,5,4
179,Leo,Casal,Serrano,2020-04-06,Producto X,-1,5,4,4,5
180,Stefano,Tejeda,Sousa,2020-02-17,Producto X,-1,5,5,5,5
181,Octavio,Sisneros,Águilar,2020-02-26,Producto X,5,5,5,-1,4
182,Bárbara,Reynoso,Fierro,2020-02-07,Producto X,4,5,4,5,5
183,Albina,Lopes,Montenegro,2020-03-01,Producto X,5,5,5,5,5
184,Flor,Alonzo,Barajas,2020-03-17,Producto X,4,5,5,5,5
185,Brita,Guzmán,Cavazos,2020-04-03,Producto X,4,-1,5,4,-1
186,Cristina,Armendáriz,Cerda,2020-02-18,Producto X,4,-1,-1,5,5
187,Manuel,Garay,Carrasquillo,2020-03-10,Producto X,4,4,5,4,3
188,Samantha,Gaona,Grijalva,2020-04-06,Producto X,5,5,5,5,5
189,Antonella,Fuentes,Villanueva,2020-03-21,Producto X,5,4,5,5,5
190,Selena,Angulo,Cornejo,2020-04-07,Producto X,5,-1,5,5,4
191,Jacobo,Lobato,Bonilla,2020-01-19,Producto X,5,5,5,5,5
192,Catarina,Cernades,Campos,2020-02-03,Producto X,5,5,4,-1,5
193,Samantha,Márquez,Ávalos,2020-01-05,Producto X,4,-1,5,4,5
194,Dalia,Ribeyro,Barrios,2020-02-17,Producto Y,4,2,3,3,4
195,Lola,Becerra,Guerra,2020-02-05,Producto X,5,3,4,4,3
196,Regina,Velasco,Alemán,2020-01-05,Producto X,5,5,5,4,4
197,Segunda,Lucero,Segura,2020-01-18,Producto X,4,4,3,4,4
198,Esperanza,Salcido,Souza,2020-02-26,Producto X,4,3,4,5,5
199,Candela,Serrato,Abreu,2020-02-15,Producto X,5,4,5,4,5
200,Guadalupe,Dacunha,Ulibarri,2020-02-05,Producto X,3,5,4,5,5
201,Serena,Olivera,Martos,2020-01-23,Producto X,5,5,-1,5,3
202,Alejandrina,Cepeda,Téllez,2020-01-11,Producto X,5,4,5,4,4
203,Patricia,Canales,Flores,2020-02-10,Producto X,5,4,5,5,4
204,Maximiliano,Iglesias,Alaniz,2020-02-12,Producto X,5,4,-1,5,5
205,Efrain,Esquibel,Fonseca,2020-04-03,Producto X,5,5,5,4,5
206,Tatiana,Alfaro,Saiz,2020-01-11,Producto X,5,5,4,5,4
207,Nazarena,Ávila,Paz,2020-01-14,Producto Y,-1,3,4,3,3
208,Alison,Rubio,Cotto,2020-03-30,Producto X,-1,-1,5,-1,5
209,Francisco,Delagarza,Otero,2020-01-18,Producto X,5,5,5,5,4
210,Ava,Amador,Molina,2020-04-06,Producto X,5,5,3,-1,5
211,Benedicto,Barraza,Benítez,2020-03-25,Producto X,5,5,5,4,4
212,Maya,Vásquez,Vaca,2020-02-11,Producto X,4,5,4,5,4
213,Susana,Posada,Casanova,2020-04-05,Producto X,-1,-1,5,4,2
214,Teodoro,Carvajal,Reynoso,2020-01-16,Producto Y,3,4,5,5,4
215,Roberto,Carrera,Carrasco,2020-01-20,Producto X,3,3,-1,5,5
216,Alana,Zelaya,Vásquez,2020-01-02,Producto Y,4,5,3,3,2
217,Zoe,Soares,Serrano,2020-02-19,Producto Y,4,5,4,3,4
218,Jorge,Lomeli,Galindo,2020-02-20,Producto X,4,4,3,4,2
219,Susana,Valle,Mata,2020-02-23,Producto X,-1,5,3,4,-1
220,Dalia,Sousa,Puga,2020-01-03,Producto X,4,4,5,5,3
221,Abraham,Varela,Galindo,2020-03-12,Producto X,-1,4,5,3,5
222,Gianina,Ledesma,Ayala,2020-01-11,Producto X,5,-1,5,4,5
223,Dulce,Mayorga,Lozada,2020-02-12,Producto X,4,5,5,4,-1
224,Abrán,Mercado,Trejo,2020-02-28,Producto X,5,-1,5,4,5
225,Abra,Quintana,Alfaro,2020-04-13,Producto X,5,5,-1,5,-1
226,Florencia,Ortiz,Barajas,2020-03-02,Producto X,3,4,5,5,2
227,María,Alves,Calvillo,2020-01-21,Producto X,5,3,4,5,5
228,Hermosa,Arriaga,Guzmán,2020-01-11,Producto Y,3,4,4,2,3
229,Cristina,Muñiz,Castellanos,2020-01-04,Producto X,5,5,5,5,2
230,Eliana,Lomeli,Ballesteros,2020-04-09,Producto X,-1,4,5,4,4
231,Venus,Salgado,Fernández,2020-01-11,Producto X,3,4,3,-1,4
232,Francisco,Fajardo,Vázquez,2020-03-31,Producto X,4,4,4,5,5
233,Paloma,Ontiveros,Mejía,2020-01-24,Producto X,4,5,5,5,5
234,Felicitas,Arguello,Mota,2020-01-17,Producto X,4,4,-1,4,5
235,Noemí,Ribeyro,Longoria,2020-02-25,Producto X,-1,5,4,5,4
236,Vanesa,Robles,Sandoval,2020-03-25,Producto X,5,5,5,5,5
237,Maximiliano,Nieves,Bonilla,2020-03-01,Producto X,5,4,5,5,4
238,Elvira,Cardona,Sousa,2020-01-25,Producto X,4,5,-1,5,-1
239,Gladis,Linares,Ribeyro,2020-02-28,Producto Y,5,4,4,5,4
240,Emilia,Pacheco,Valdivia,2020-02-20,Producto X,2,5,5,5,-1
241,Regina,Almeyda,Cardoso,2020-02-15,Producto X,5,4,5,5,3
242,Leandra,González,Cabrera,2020-03-27,Producto X,5,5,4,5,5
243,Diana,Cano,Flores,2020-03-22,Producto X,5,3,5,5,5
244,Diego,Veiga,Acevedo,2020-04-07,Producto X,4,4,4,3,4
245,Gloria,Sarabia,Guerrero,2020-01-25,Producto X,-1,4,5,4,5
246,Gabriel,Mora,Villa,2020-01-08,Producto X,4,4,5,5,4
247,José,Adauto,Solorzano,2020-04-07,Producto X,5,4,5,5,4
248,Rita,Estévez,Adaro,2020-04-01,Producto X,-1,5,5,4,5
249,Nadia,Tejada,Gutiérrez,2020-01-21,Producto X,5,5,5,4,5
250,Helena,Colunga,Casal,2020-04-09,Producto X,4,2,4,4,5
251,Felipa,Melgar,Bonilla,2020-02-06,Producto X,4,2,5,4,5
252,Manuela,Cosinga,Salas,2020-03-03,Producto X,5,3,4,4,4
253,Dión,De oliveira,Delao,2020-02-02,Producto X,5,5,4,5,5
254,Evelina,Melo,Seijas,2020-01-02,Producto X,5,5,4,-1,4
255,Efraim,Solorio,Saldivar,2020-03-12,Producto X,5,5,4,5,4
256,Moisés,Collado,Delgado,2020-04-05,Producto X,5,-1,5,4,4
257,Esteban,Padilla,Llamas,2020-01-18,Producto X,4,5,5,4,5
258,Eduarda,Seijas,Valdivia,2020-02-12,Producto X,3,4,4,3,5
259,Absalón,Sanches,Tirado,2020-01-03,Producto Y,4,3,-1,3,4
260,Ceferino,Pessoa,Posada,2020-01-29,Producto X,5,3,5,5,4
261,Luna,Espinoza,Alaniz,2020-03-01,Producto X,5,5,5,3,5
262,Antonio,Carrera,Guzmán,2020-01-31,Producto Y,4,5,4,3,5
263,Gema,Da nobrega,Tenemas,2020-01-14,Producto X,4,5,5,4,4
264,Alejandro,Rodrigues,Villalpando,2020-01-06,Producto X,4,-1,5,4,4
265,Iris,Magaña,Santacruz,2020-01-11,Producto X,4,5,3,4,4
266,Eduardo,Candelaria,Limón,2020-01-19,Producto Y,3,3,4,3,3
267,Maya,Luevano,Holguín,2020-03-30,Producto X,5,4,5,-1,5
268,Yesenia,Muñiz,Adaro,2020-01-24,Producto Y,2,4,2,4,3
269,Candelaria,Sáenz,Climaco,2020-01-17,Producto X,-1,4,3,5,4
270,Rafael,Queiroz,Segovia,2020-03-02,Producto X,5,4,5,5,5
271,Inés,Zavala,Montaño,2020-03-22,Producto X,-1,5,5,5,5
272,Lola,De oliveira,Segura,2020-01-23,Producto X,-1,5,4,5,4
273,Orlando,Piña,Ozuna,2020-04-11,Producto X,5,5,4,4,-1
274,Candelaria,Menéndez,Ulibarri,2020-02-24,Producto Y,-1,4,2,3,3
275,Calí­ope,Chapa,Vigil,2020-03-24,Producto X,5,5,5,5,5
276,Nadia,Villareal,Do carmo,2020-02-10,Producto X,5,4,5,3,5
277,Mónica,Barrios,Uribe,2020-01-27,Producto X,5,4,4,-1,5
278,Isabel,Montes,Anguiano,2020-03-23,Producto X,4,5,-1,5,4
279,Alison,Calvillo,Angobaldo,2020-02-17,Producto Y,3,3,1,5,4
280,Jacob,Monroy,Gonzales,2020-02-29,Producto Y,3,4,3,4,5
281,Isaac,Bustos,Gomes,2020-02-24,Producto X,5,4,5,5,5
282,Gladis,Ortiz,Luna,2020-01-23,Producto Y,3,5,5,5,3
283,Gisela,Cedillo,Villegas,2020-01-20,Producto Y,3,2,5,4,1
284,Raquel,Abeyta,Faura,2020-03-26,Producto X,-1,5,4,5,-1
285,Reina,Robles,Palomino,2020-04-08,Producto X,4,4,5,4,5
286,Abraham,Viera,Jurado,2020-02-04,Producto Y,2,5,-1,3,3
287,Joana,Jasso,Alburqueque,2020-04-11,Producto X,2,4,5,4,5
288,Miriam,Ureña,Téllez,2020-01-08,Producto X,4,4,5,4,-1
289,Felix,Paredes,Garrido,2020-02-07,Producto X,5,5,4,5,-1
290,Gladis,Amaral,Casillas,2020-03-22,Producto X,5,4,5,5,4
291,Blanca,Hernandes,Campos,2020-02-21,Producto Y,3,4,2,5,3
292,Alberto,Portugal,Molina,2020-02-12,Producto X,4,5,5,5,5
293,Jennifer,Miramontes,Almaraz,2020-02-23,Producto X,5,5,5,2,4
294,Dana,Delatorre,Jurado,2020-03-04,Producto X,5,-1,5,-1,5
295,Brunela,Da fieno,Macías,2020-02-22,Producto X,-1,5,4,5,5
296,Belén,Madera,Moura,2020-02-28,Producto X,5,4,4,-1,-1
297,Shakira,Pajares,Escobar,2020-02-21,Producto X,5,4,-1,-1,5
298,María,Cabán,Narváez,2020-03-22,Producto X,5,5,3,5,4
299,Evelina,Reyna,Torres,2020-01-28,Producto X,4,5,3,4,4
300,Jacob,Partida,Mejía,2020-03-03,Producto X,4,4,4,4,5
301,Mara,Negrón,Baca,2020-01-19,Producto Y,2,3,3,2,4
302,Fiona,Adame,Olvera,2020-03-18,Producto X,5,4,5,5,5
303,Fátima,Bonilla,León,2020-01-15,Producto X,5,5,5,4,5
304,Brenda,Villanueva,De almeida,2020-01-19,Producto X,5,4,-1,-1,5
305,Sol,Bétancourt,Barreto,2020-01-05,Producto X,4,5,4,5,4
306,Blanca,Texeira,Montes,2020-02-17,Producto X,5,3,5,4,5
307,Luisa,Aragón,Otero,2020-04-01,Producto X,5,5,4,4,4
308,Tía,Casares,Camacho,2020-01-15,Producto Y,5,3,3,3,-1
309,Ernesto,Brito,Nieto,2020-01-09,Producto X,-1,4,4,3,5
310,Elena,Valentín,Cosinga,2020-01-04,Producto X,5,4,5,5,-1
311,Aida,García,Da souza,2020-02-05,Producto Y,5,3,-1,5,3
312,Fortunata,Santacruz,Olmos,2020-01-01,Producto X,5,4,4,5,4
313,Camila,Vallejo,Armenta,2020-02-02,Producto X,4,5,5,5,5
314,Bibiana,Yáñez,Vélez,2020-01-19,Producto X,5,5,4,5,5
315,Sabrina,Bañuelos,Lira,2020-02-24,Producto Y,3,4,-1,5,2
316,Javier,Sarabia,Soliz,2020-02-17,Producto X,4,5,5,5,-1
317,Abrán,Pereyra,Vega,2020-03-09,Producto X,5,5,4,5,4
318,Tía,Pereyra,Aponte,2020-02-27,Producto X,4,5,5,5,3
319,Iris,Montenegro,Fuentes,2020-04-06,Producto X,5,-1,3,4,5
320,Aurora,Ureña,Padrón,2020-03-05,Producto X,5,4,5,5,5
321,Mateo,Alves,Crespo,2020-03-18,Producto X,-1,5,2,4,4
322,Brisa,Benavides,Nostades,2020-02-07,Producto X,5,4,4,5,4
323,Belinda,Lugo,Flórez,2020-02-12,Producto Y,3,4,4,4,-1
324,Alejandrina,Barrientos,Razo,2020-02-13,Producto X,4,3,4,4,5
325,Tía,Flórez,Batista,2020-03-07,Producto X,4,5,4,5,4
326,María,Enríquez,Flórez,2020-02-29,Producto Y,3,4,3,4,3
327,Orlando,Meres,Daga,2020-02-27,Producto X,5,5,5,5,4
328,Xavier,Mata,Rosario,2020-03-31,Producto X,-1,5,5,5,5
329,Elí­as,Olivárez,Quintanilla,2020-02-05,Producto Y,3,4,-1,3,2
330,Mateo,Córdova,Valencia,2020-02-26,Producto Y,4,3,3,-1,4
331,Paloma,Marín,Colón,2020-02-11,Producto X,5,3,5,5,4
332,Fiona,Luján,Alemán,2020-03-07,Producto X,4,4,5,5,-1
333,Luz,Nostades,Arreola,2020-02-08,Producto X,-1,5,5,5,4
334,Belén,Linares,Abreu,2020-03-12,Producto X,-1,5,4,5,3
335,Margarita,Nájera,Martínez,2020-03-21,Producto X,3,4,5,3,4
336,Marianela,Amador,Carrillo,2020-02-28,Producto X,5,3,4,-1,5
337,María,Berríos,Ureña,2020-01-02,Producto X,5,3,-1,3,4
338,Paulina,Caldera,Lozada,2020-02-17,Producto X,4,4,5,5,5
339,Elena,Guedes,Cervantes,2020-03-03,Producto X,5,5,5,5,5
340,Dión,Ayala,Portuguez,2020-03-20,Producto X,4,4,5,4,5
341,Alejandro,Acuña,Corona,2020-02-17,Producto X,4,4,4,-1,5
342,Gisela,Archuleta,Quintanilla,2020-03-08,Producto X,5,5,5,5,5
343,Mercedes,Oliveyra,Arriaga,2020-03-15,Producto X,4,5,5,5,5
344,Zarina,Montes,Serrato,2020-02-10,Producto Y,3,2,3,4,3
345,Solana,Cervantes,Alarcón,2020-03-25,Producto X,5,5,5,4,4
346,Marta,Armas,Carvajal,2020-02-29,Producto X,5,5,5,5,4
347,Pamela,Valenzuela,Botello,2020-01-17,Producto X,5,-1,5,5,5
